Jan,2.1,-2.8
Feb,3.5,-2.4
Mar,7.4,0.2
Apr,11.7,3.0
May,16.8,7.2
Jun,20.0,10.5
Jul,21.8,12.3
Aug,21.7,12.2
Sep,18.3,9.2
Oct,13.2,5.9
Nov,1.7,7.0
Dec,3.4,-1.3
